Movie,Year,Subtitle,Trailer Subtitle
Constantine,2005,https://yts-subs.com/subtitles/constantine-2005-english-yify-106165,"what cold sure Bobby's know
mr. Constantine I'd like to ask you a
few questions I know the circles you
travel in they call exorcisms they're
easy they hammer its dragon's breath I
thought you couldn't get it in those ago
I thought that you can at least point me
in the right direction
yeah please
what if I told you that God in the devil
made of weight that the souls of all
mankind no direct contact with humans
that would be the rule just influence
see who would win demon stained him and
rose in heaven they call it the balance
I need to see what you see you do this
there's no time back you see them
they see you understand
[Music]
budell"
Batman Begins,2005,https://yifysubtitles.org/subtitles/batman-begins-2005-english-yify-245133,"Tell us, Mr. Wayne.
What do you fear?
How do you know my name?
The world is too small for someone like Bruce Wayne to disappear.
Your parents' death was not your fault.
My parents deserve justice.
I cannot let that pass.
If you make yourself more then just a man...
Then you become something else entirely.
Which is?
A legend, Mr. Wayne.
Master Wayne.
Are you coming back for long, sir?
As long as it takes to show the people of Gotham their city doesn't belong to the criminals and the corrupt.
Bruce?
Rachel?
You were gone a long time.
I know.
Things are worse than ever down here.
What chance does Gotham have when the good people do nothing?
Nomex survival suit for advanced infantry.
Kevlar utility harness.
Gas-powered magnetic grappler gun.
What's that?
The Tumbler?
Oh, you wouldn't be interested in that.
I've spent a lot of time being scared for you.
Then I heard you were back.
But the man I loved...
...the man who vanished...
...never came back.
He's here.
Who?
The Batman.
Gotham must be destroyed.
Gotham isn't beyond saving.
Just hold on!
Rachel!
A guy who dresses up like a bat clearly has issues."
Superman Returns,2006,https://yts-subs.com/subtitles/superman-returns-2006-english-yify-104473,"you've been gone a long time where did
you go
you have great power even though you've
been raised as a human being you are not
one of them it's not easy for me to live
my life being Who I am keeping secrets
Clark hey welcome back I see you've
already met the Munchkin hello yeah well
you've been gone fearless reporter Lois
Lane is a mommy
but if you ask me she's still in love
with you-know-who
I moved on sort of the rest of us the
world doesn't need a Savior
I need the tweye
Exley
this is kind of a little reunion isn't
it heck a fan i'll have advanced
technology thousands of years beyond
what anyone could throw at me
but millions of people will die
billions
you wrote that the world doesn't need a
Savior but every day I hear people
crying for one
come on let me hear you say it just once
you're insane
no no or the other baby Superman will
bring it all
now fry"
The Dark Knight,2008,https://moviesubtitlesrt.com/hollywood/the-dark-knight-2008-english-subtitles-download/,"Where do we begin.
A year ago, these cops and lawyers wouldn't dare cross any of you. I mean, what happened ?
So what are you proposing? It's simple. Kill the Batman.
Here's my card.
Bruce, this is Harvey Dent.
Rachel's told me everything about you.
Well, I certainly hope not.
You once told me that we'd be together
Did you mean it ?
Bruce, don't make me your only hope for a normal life.
You're Alfred, right ? That's right sir.
Any psychotic ex-boyfriends I should be worried about ?
Oh, you have no idea.
Good evening, ladies and gentlemen.
We are tonight's entertainment.
Well hello, beautiful.
You look nervous.
I've seen now what I have to become to stop men like him.
The night is darkest just before the dawn.
I promise you, the dawn is coming.
And here we go.
Come on !
This city deserves a better class of criminal.
And I'm gonna give it to 'em.
Noo !
You'll see. I'll show you.
You either die a hero, or you live long enough to see yourself become the villain.
Will you be wanting the Batpod, sir ?
In the middle of the day, Alfred ? Not very subtle.
The Lamborghini, then ?
Much more subtle."
Watchmen,2009,https://yifysubtitles.org/subtitles/watchmen-2009-english-yify-96211,"[Music]
people who are masks
we were driven by trauma they're
obsessed with justice because of some
injustice they suffered ergo the mask it
hides the pain I wear the mask to
protect myself right from the pain
there was a Calvary involved shooting
last night you're gonna give me the
speech now what speech I should calm
down take a breath for where Oregon yeah
there's a guy in my trunk
delightful you know why you're here
so done kicked in my door humming the
trouble in our [ __ ] car oh that is
correct that what my lawyer yeah
we don't have to do that the terrorists
why would they start this [ __ ] up again
maybe there was something didn't want
Pam they had a mission don't I just
forgot Calvary has our names and
addresses
[Music]
oh please please vast penance is
conspiracy of a torture honey the head
won't spawn
what is this
it's the only way to show you the truth
you need to help stop the 7th cavalry
from doing what those markers are trying
to start a war
[Music]
I only just forgot
[Music]
you
you"
Jonah Hex,2010,https://yifysubtitles.org/subtitles/jonah-hex-2010-english-yify-90386,"don't do the circles please this mark
will remind you of the man who took
everything you had after that night some
say he was a changed man that his spirit
crossed over giving you powers that kids
be explained
Jonah hey uh coffins I can you might
need a
Jax people look so tough
Hey yes what I'm in your face cut myself
shaving what happened to your always do
like when you finally show it geez woman
know any men you see you today Quentin
Turnbull Hill do you dare say that name
to me Quentin Turnbull surfaced about a
month ago we want Turnbull dead why
don't you just say that to begin with
[Music]
anything new yeah thought you'd never
ask
but take it that means you put this in
the future you choose right
can you shoes
[Music]
[Music]
you know very much for being out with
near settled our toys
what's it like to go through life for
the things like that oh yeah
[Music]
still got that knife and your garter hey
take it still got that derringer in your
bustle they took it all Jonah mr.
Shuford doing good didn't I win you"
Green Lantern,2011,https://yifysubtitles.org/subtitles/green-lantern-2011-english-yify-84760,"I am the Green Lantern of sector to a
high and Abin Sur I ordered my reign to
find you
but I have to tell you seemed
unbelievable
the ring has chosen you
outdoor green lantern
existence to come
and justice fool
recruits from all sentient
interplanetary
species have had
earth stands upon the brink of
destruction none can escape it you will
unite
deciding your own distance
the question is
which path you choose
one choice
do this
we get a job
and now all the sudden you've got this
this superpower kind of superpower call
it what you want but that's yours how it
sounds like some superhero captain tight
pants [ __ ] to me man"
The Dark Knight Rises,2012,https://yts-subs.com/subtitles/the-dark-knight-rises-2012-english-yify-81502,"(O, say can you see, By the dawn's early light.)
You are as precious to me as you were to your own mother and father,
I swore to them that I would protect you, and I haven't
(By the twilight's last gleaming.)
storm coming, Mr Wayne
you and your friends better batten down the hatches,
because, when it hits,
you're all gonna wonder how you ever thought you could live so large
and leave so little for the rest of us.
(Prisoner's chanting in Arabic: Deshi, deshi, bashara, bashara)
What does that mean ?
Rise.
When Gotham is ashes,
you have my permission to die.
(Prisoner's chanting in Arabic: Deshi, deshi, bashara, bashara)"
Man of Steel,2013,https://yifysubtitles.org/subtitles/man-of-steel-2013-english-yify-71753,"[MUSIC]
>>JOR EL: You will give the people an ideal to strive towards.
 
They will race behind you, they will stumble, they will fall.
[MUSIC]
But in time, they will join you in the sun.
In time, you will help them accomplish wonders.
[MUSIC]"
Batman v Superman Dawn of Justice,2016,https://yts-subs.com/subtitles/batman-v-superman-dawn-of-justice-2016-english-yify-12357,"today is a day for truth the world needs
to know what happened and to know what
he stands for that kind of power is very
dangerous
let the record show that this committee
holds him responsible
that's how it starts the fever the rate
of turns good man
cruel this bat vigilantes like a one-man
right of terror you don't get to decide
what the right thing is nobody cares
about Clark Kent taking on the Batman
it means something to all some people
have to all that gives them hope
people hate what they don't understand
be their hero block be their angel be
their monument be anything they need you
things
or feet none of it
you don't owe this world a thing you
never did do you know the oldest lie in
America senator the devil's don't come
from Hell beneath us
they come from the sky
twenty years in Gotham I make good guys
are left
I'm gonna stay that way he has the power
to wipe out the entire human race
now I have to destroy it
you're gonna go to war
he is not our enemy
black and blue
God versus man
day versus night
the red capes are coming the red capes
are coming"
