Movie,Year,Subtitle,Trailer Subtitle
Black Widow,2021,https://moviesubtitlesrt.com/hollywood/black-widow-2021-english-subtitles-download/,"♪♪
YELENA BELOVA It was real to me.
To me...
...you were everything.
DREYKOV Bring her...
...home.
NATASHA ROMANOFF Put your seat belts on.
YELENA BELOVA You're such a mom.
♪♪
NATASHA ROMANOFF One thing's for sure.
I'm done running from my past.
♪♪"
Spider-Man Far From Home,2019,https://yts-subs.com/subtitles/spider-man-far-from-home-2019-english-yify-1392,"Thank You spider-man
That was so good
Hey, sorry, I'm late. Happy. You look nice. Thank you. You too. Thank you. New dress? Yes, it is, how'd you know?
What just happened?
Planning a trip?
Mhm.
Going to Europe
It's a school trip
Let's get your passport Peter Parker here to pick up a passport, please mini toothpaste. Let's pack your suit I
I just want to go on my trip with my friends
Europe doesn't really need a friendly neighborhood spiderman
You look really pretty. Therefore I have value? no, no, that's not wha- I'm messing with you.
You look pretty too
I just want to spend some time with MJ. I think she really likes me dude. That reminds me of the first time i fell in love. I had just finished my coffee
So nice to finally meet you, spider-man
You're Nick Fury.
Put some clothes on. Let's go for a ride.
Is he going to be ok like that?
Might want to turn him over so he doesn't swallow his tongue
I think Nick Fury just hijacked our summer vacation
Awesome!
You got gifts Parker, but we have a job to do. Are you going to step up or not?
You're all alone.
Your friends are in trouble.
What are you gonna do about it?
You don't want any part of this
Who is that guy he's like Iron Man and Thor rolled into one. He's no spider-man
What is it with you and spider-man what he looks out for the neighbor?
It has a dope suit and I really respect him sup dickwad"
Avengers Endgame,2019,https://moviesubtitlesrt.com/hollywood/avenger-endgame-2019-english-subtitle-download/,"♪♪
TONY STARK: It seems like a thousand
years ago...
I fought my way out of that cave...
became Iron Man...
realized I loved you...
I know I said no more surprises, but...
I was really hoping to pull off one last one.
PEGGY CARTER: The world has changed.
None of us can go back...
All we can do is our best...
and sometimes the best that we can do...
is to start over.
♪♪
THOR: I saw all these people die.
STEVE ROGERS: I keep telling everybody
they should move on...
Some do...
but not us.
NATASHA ROMANOFF: Even if there's a...
small chance...
we owe this...
to everyone who's not in this room
to try.
We will.
STEVE ROGERS: Whatever it takes.
NEBULA: Aaaaahhhh!
CLINT BARTON: Whatever it takes.
NATASHA ROMANOFF: Whatever it takes.
TONY STARK: Whatever it takes.
♪♪
I like this one."
Captain Marvel,2019,https://yifysubtitles.org/subtitles/captain-marvel-2019-english-yify-1536,"[Music]
war is a universal language I know
renegade soldier when I see one
never occurred to me that one might come
from above
space invasion
mccartey
truth be told I was ready to hang it up
to let miss you today so you're not for
her on here it's hard to explain
I keep having these memories
I see flashes
[Music]
I think I had a life here
[Music]
but I can't tell if it's real
we have no idea what threats are out
there
we can't do this alone
I'm not what you think I am
you"
Ant-Man and The Wasp,2018,https://yifysubtitles.org/subtitles/ant-man-and-the-wasp-2018-english-yify-5332,"So, how long have you been Ant-Man again?
No, uh... It just sort of happened.
I wish I could fight bad guys like you!
I seem to mess it up almost every single time.
Maybe you just need someone watching your back.
Like a partner.
Dr. Pym. I actually heard what happened to you.
Ya'll went down to Quantum Realm. That's what this crazy, creepy Ghost was...
...who, like, walks through walls and stuff. It stole your tech.
And now it wants to take over the world, or whatever.
Who would believe that in your hour of need you would turn to us?
- Not me.
Because we robbed you. Do you remember?
That's us.
The only chance you've got...
...is both of you.
Ant-Man and the Wasp, teaming up.
- Follow my lead.
She seems...
...more intense.
- You go low, I go high.
I have wings. Why would I go low?
We're gonna die! I don't wanna die!
We didn't die!
What did I miss?
- We were just tiny!
I was partners with Hank on a project called ""Goliath"".
- How big did you get?
By record?
21 feet.
65 feet.
65?
If you two are finished comparing sizes...?
65."
Avengers Infinity War,2018,https://yifysubtitles.org/subtitles/avengers-infinity-war-2018-english-yify-4864,"There was an idea.
To bring together...
A group of remarkable people.
To see if we could become...
Something more.
So when they needed us...
...we could fight the battles...
...that they never could.
In time...
You will know what it's like to lose.
To feel so desperately that you're right...
...yet to fail...
...all the same.
Dread it.
Run from it.
Destiny still arrives.
Evacuate the city.
Engage all defenses.
And get this man a shield.
Fun isn't something one considers when balancing the universe.
But this...
Does put a smile on my face.
Who the hell are you guys?"
Black Panther,2018,https://moviesubtitlesrt.com/hollywood/black-panther-2018-english-subtitle-download/,"Tell me something.
What do you know about Wakanda?
It's a third-world country.
Textiles.
Shepherds.
Cool outfits.
All a front.
Explorers have searched for it.
Called it ""El Dorado"".
They looked for it in South America.
But it was in Africa the whole time.
I'm the only one...
...who's seen it...
...and made it out alive.
I can see you!
The world...
Is changing.
Soon...
...there will only be the conquered...
...and the conquerors.
You are a good man.
With a good heart.
And it's hard for a good man...
...to be...
...a king."
Thor Ragnarok,2017,https://ytsubtitles.com/thor-ragnarok/tt3501632/40361,"So much has happened since I last saw you.
I lost my hammer, like, yesterday. So, that's still pretty fresh.
And then I went on a journey of self-discovery,
where I met you .
Where are we?
You have no idea!!!
Hela, the goddess of death, has invaded Asgard.
- Oh, I've missed this!
- And you and I had a fight recently.
- Did I win?
- No. I won, easily.
- Doesn't sound right.
- Well, it's true.
- Asgard is dead.
But it'll be reborn in my image.
I thought you'd be glad to see me.
- We need to stop her here and now, to prevent Ragnarok, the end of everything.
So I'm putting together a team.
Like the old days.
- Surprise!!! This'll be such fun.
- Hello!
- Hi.
- He's a fighter.
- Here we go!
- I'm not a queen or a monster.
I'm the goddess of death.
What were you the god of, again?
- We're the same, you and I, just a couple of hot-headed fools.
- Yes, same. Hulk like fire, Thor like water.
- Kind of both like fire.
- But Hulk like raging fire.
- Thor like smoldering fire."
Spider-Man Homecoming,2017,https://yifysubtitles.org/subtitles/spider-man-homecoming-2017-english-yify-298632,"Sup, guys?
Wait a minute...
You guys aren't the real Avengers!
I can tell.
Hulk gives it away.
Whoa, that was awesome!
Did Liz get a new top?
No.
You've seen that before.
Never with that skirt.
We should probably stop staring before it gets creepy, though.
Yeah.
Too late.
You guys are losers.
So, to become an Avenger...
Are there like trials?
Or an interview?
Just don't do anything I would do.
And definitely don't do anything I wouldn't do.
There's a little gray area in there and that's where you operate.
Alright?
That's not a hug.
I'm just grabbing the door for you.
Alright, kid!
Good luck out there.
Listen...
I know school sucks.
Peter!
You still with us?
Uh...
Yeah, yeah.
I know you wanna save the world.
But...
You're not ready yet.
You're the Spider-Man.
No, I'm not!
I'm not.
This is just a costume.
This is...
You were on the ceiling!
Stay close to the ground.
And stay out of trouble.
Forget the flying monster guy.
There are people who handle this sort of thing.
I'm sick of him treating me like a kid all the time!
But you are a kid.
This is my chance to prove myself.
Peter, what is going on with you?
I'm really sorry.
I'm so busy.
I'm slammed.
Don't mess with me.
'Cause I will kill you.
And everybody you love."
Guardians of the Galaxy Vol. 2,2017,https://moviesubtitlesrt.com/hollywood/guardians-of-the-galaxy-vol-2-2017-english-subtitles-download/,"Music playing in backround
There are two types of
beings in the universe
those who dance
and those who do not
I get it yes
I'm a dancer
Gamora is not
you just need to find a woman who is pathetic
like you
thanks buddy
do you need a hug?
no
no i do not
oh, i thought i said no
you´re welcome"
